champion,Summoner_name,win,assists,spell1,spell2,totalDamageDealt,goldEarned,champLevel,deaths,firstBloodKill,firstTowerKill,individualPosition,kills,physicalDamageDealt,magicDamageDealt,trueDamageDealt,wardsPlaced,matchId,gameDuration
Darius,dabdiel,0,1,SummonerFlash,SummonerHaste,130992,9997,15,11,0,0,TOP,2,116326,0,14666,7,EUW1_6322963062,1977
Kayn,madz met deezet,0,6,SummonerFlash,SummonerSmite,213128,12269,15,5,0,0,JUNGLE,4,182825,84,30217,2,EUW1_6322963062,1977
AurelionSol,supereendmax,0,3,SummonerFlash,SummonerTeleport,163195,14164,15,12,0,0,MIDDLE,6,3596,147849,11748,10,EUW1_6322963062,1977
Twitch,papa baars,0,7,SummonerFlash,SummonerHaste,139126,11961,14,8,0,0,BOTTOM,7,115834,867,22425,11,EUW1_6322963062,1977
Sona,faker husband,0,11,SummonerFlash,SummonerHeal,18337,7451,13,10,0,0,UTILITY,1,3284,14804,248,4,EUW1_6322963062,1977
Zac,Kim Jong Gandih,1,18,SummonerFlash,SummonerTeleport,135836,12338,17,2,0,0,TOP,4,15014,107651,13169,8,EUW1_6322963062,1977
Vayne,Alpaca00,1,8,SummonerHeal,SummonerFlash,114499,15141,14,7,1,0,BOTTOM,15,94789,182,19528,11,EUW1_6322963062,1977
Qiyana,SecretsPrompt,1,8,SummonerDot,SummonerFlash,148826,13110,16,1,0,0,MIDDLE,11,131202,15738,1886,13,EUW1_6322963062,1977
MonkeyKing,Zerovskij,1,11,SummonerFlash,SummonerSmite,250696,15553,16,3,0,0,JUNGLE,12,156542,26005,68148,1,EUW1_6322963062,1977
Chogath,Amico Mio,1,9,SummonerDot,SummonerFlash,178901,11578,15,7,0,1,UTILITY,4,24431,124138,30332,9,EUW1_6322963062,1977
JarvanIV,Tsaren,1,16,SummonerTeleport,SummonerFlash,170338,14067,18,12,0,0,TOP,6,153370,11739,5228,9,EUW1_6322881207,2474
Maokai,Erikq1000,1,25,SummonerSmite,SummonerFlash,299249,15552,18,8,0,0,JUNGLE,6,43981,196222,59046,1,EUW1_6322881207,2474
Pantheon,Kevinq,1,14,SummonerDot,SummonerFlash,171815,19718,18,9,0,0,MIDDLE,22,163269,4604,3941,13,EUW1_6322881207,2474
